Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount
I000202,O00125,P0374,4,20293.37,0.1
I000203,O00125,P0263,1,12622.11,0.1
I000204,O00125,P0412,1,14362.31,0.1
I000205,O00126,P0416,2,14378.26,0.0
I000206,O00127,P0338,1,9789.99,0.05
I000207,O00128,P0446,1,18710.12,0.1
I000208,O00129,P0100,1,7091.79,0.0
I000209,O00130,P0389,1,10740.24,0.15
I000210,O00130,P0009,2,10894.67,0.15
I000211,O00131,P0149,1,18764.92,0.05
I000212,O00132,P0361,4,8061.24,0.0
I000213,O00132,P0317,2,14355.69,0.0
I000214,O00132,P0466,1,7584.85,0.0
I000215,O00133,P0045,1,5553.07,0.05
I000216,O00134,P0436,1,9847.38,0.0
I000217,O00135,P0405,1,10874.23,0.15
I000218,O00135,P0382,1,17253.16,0.15
I000219,O00136,P0366,2,12694.5,0.05
I000220,O00136,P0499,1,2390.13,0.05
I000221,O00136,P0476,1,1078.88,0.05
I000222,O00136,P0014,1,14738.4,0.05
I000223,O00137,P0355,5,15161.64,0.0
I000224,O00137,P0109,3,7019.11,0.0
I000225,O00137,P0473,1,731.76,0.0
I000226,O00138,P0049,4,10387.8,0.1
I000227,O00139,P0312,2,8312.33,0.1
I000228,O00140,P0288,1,16170.77,0.05
I000229,O00140,P0415,1,19105.92,0.05
I000230,O00140,P0499,1,2390.13,0.05
I000231,O00140,P0077,1,10405.98,0.05
I000232,O00141,P0464,1,11639.56,0.05
I000233,O00142,P0217,2,2504.14,0.15
I000234,O00143,P0396,1,6181.52,0.1
I000235,O00143,P0216,1,4253.32,0.1
I000236,O00144,P0093,1,11807.43,0.05
I000237,O00145,P0445,1,5378.95,0.25
I000238,O00146,P0475,1,6070.94,0.05
I000239,O00146,P0252,1,18803.98,0.05
I000240,O00147,P0190,1,4813.84,0.1
I000241,O00147,P0326,1,1200.34,0.1
I000242,O00148,P0111,2,4168.73,0.1
I000243,O00148,P0240,2,16345.25,0.1
I000244,O00149,P0326,1,1200.34,0.05
I000245,O00149,P0285,1,11518.27,0.05
I000246,O00150,P0357,2,4004.54,0.05
I000247,O00150,P0371,5,14987.41,0.05
I000248,O00151,P0144,3,5083.64,0.1
I000249,O00152,P0321,1,15173.01,0.05
I000250,O00153,P0424,1,1099.43,0.05
I000251,O00154,P0464,1,11639.56,0.1
I000252,O00155,P0219,1,1340.09,0.15
I000253,O00155,P0475,1,6070.94,0.15
I000254,O00155,P0045,1,5553.07,0.15
I000255,O00156,P0208,2,17414.46,0.15
I000256,O00157,P0157,1,1053.8,0.0
I000257,O00157,P0163,1,16537.01,0.0
I000258,O00158,P0257,1,8094.05,0.15
I000259,O00158,P0105,4,10085.48,0.15
I000260,O00158,P0484,1,14051.85,0.15
I000261,O00159,P0469,1,12828.28,0.25
I000262,O00160,P0430,1,14535.8,0.1
I000263,O00160,P0314,1,5199.64,0.1
I000264,O00160,P0067,1,18606.26,0.1
I000265,O00161,P0062,2,2140.31,0.1
I000266,O00161,P0134,2,8950.35,0.1
I000267,O00161,P0275,3,18205.93,0.1
I000268,O00162,P0406,1,1199.98,0.25
I000269,O00162,P0197,4,5628.38,0.25
I000270,O00163,P0341,1,9492.87,0.2
I000271,O00163,P0241,5,9473.89,0.2
I000272,O00164,P0343,1,21720.15,0.1
I000273,O00165,P0429,1,4623.76,0.15
I000274,O00165,P0353,1,4627.28,0.15
I000275,O00165,P0011,1,6896.23,0.15
I000276,O00165,P0457,1,18511.82,0.15
I000277,O00166,P0058,1,10856.44,0.05
I000278,O00166,P0008,3,404.42,0.05
I000279,O00167,P0080,3,8081.72,0.1
I000280,O00168,P0364,1,20513.3,0.15
I000281,O00169,P0148,1,3827.6,0.05
I000282,O00169,P0080,2,8081.72,0.05
I000283,O00170,P0141,1,2669.4,0.1
I000284,O00171,P0458,1,11252.82,0.0
I000285,O00171,P0095,2,708.58,0.0
I000286,O00172,P0234,2,6819.79,0.2
I000287,O00173,P0399,1,9834.2,0.2
I000288,O00173,P0424,4,1099.43,0.2
I000289,O00174,P0434,1,15961.32,0.1
I000290,O00174,P0251,4,13718.51,0.1
I000291,O00175,P0413,2,4516.32,0.05
I000292,O00176,P0454,1,13398.41,0.15
I000293,O00177,P0248,3,5481.12,0.05
I000294,O00177,P0286,1,8678.82,0.05
I000295,O00178,P0137,5,2945.06,0.05
I000296,O00179,P0146,1,12538.22,0.25
I000297,O00180,P0449,2,3785.19,0.0
I000298,O00181,P0483,3,14346.17,0.05
I000299,O00182,P0442,3,12851.94,0.1
I000300,O00183,P0409,1,8257.04,0.0
I000301,O00184,P0362,2,7754.84,0.0
I000302,O00184,P0220,4,4537.91,0.0
I000303,O00185,P0347,1,207.7,0.1
I000304,O00186,P0046,1,15363.92,0.0
I000305,O00187,P0145,2,5897.75,0.05
I000306,O00187,P0424,1,1099.43,0.05
I000307,O00188,P0055,2,18288.33,0.1
I000308,O00188,P0187,4,6663.59,0.1
I000309,O00189,P0147,4,5903.16,0.05
I000310,O00190,P0107,3,12811.73,0.15
I000311,O00190,P0278,2,4045.44,0.15
I000312,O00190,P0085,4,14574.29,0.15
I000313,O00191,P0408,2,12252.4,0.25
I000314,O00192,P0339,3,8938.6,0.15
I000315,O00193,P0161,1,4912.94,0.3
I000316,O00193,P0352,1,10103.59,0.3
I000317,O00193,P0152,3,11257.85,0.3
I000318,O00194,P0096,2,7114.07,0.05
I000319,O00194,P0144,1,5083.64,0.05
I000320,O00195,P0338,4,9789.99,0.05
I000321,O00195,P0166,1,4299.84,0.05
I000322,O00196,P0488,4,6474.12,0.05
I000323,O00196,P0023,2,8677.28,0.05
I000324,O00196,P0481,1,1854.72,0.05
I000325,O00197,P0326,4,1200.34,0.2
I000326,O00197,P0301,1,1551.88,0.2
I000327,O00198,P0472,1,6339.28,0.05
I000328,O00198,P0029,2,7973.77,0.05
I000329,O00198,P0236,1,13763.86,0.05
I000330,O00199,P0011,1,6896.23,0.15
I000331,O00200,P0056,1,5412.25,0.15
I000332,O00200,P0499,3,2390.13,0.15
I000333,O00201,P0281,1,8647.87,0.0
I000334,O00201,P0386,1,7920.43,0.0
I000335,O00202,P0311,2,13470.81,0.2
I000336,O00203,P0142,2,7546.26,0.1
I000337,O00203,P0016,1,4929.52,0.1
I000338,O00203,P0004,1,21658.55,0.1
I000339,O00203,P0270,1,15544.12,0.1
I000340,O00204,P0278,2,4045.44,0.05
I000341,O00204,P0020,1,16894.73,0.05
I000342,O00205,P0379,2,4596.34,0.25
I000343,O00205,P0464,1,11639.56,0.25
I000344,O00205,P0018,1,8521.23,0.25
I000345,O00206,P0090,5,19317.51,0.15
I000346,O00207,P0178,2,9447.65,0.1
I000347,O00208,P0270,4,15544.12,0.3
I000348,O00209,P0252,1,18803.98,0.15
I000349,O00209,P0025,1,21151.19,0.15
I000350,O00209,P0207,1,9618.99,0.15
I000351,O00210,P0098,1,18024.33,0.0
I000352,O00211,P0495,3,3120.64,0.3
I000353,O00212,P0148,2,3827.6,0.1
I000354,O00212,P0451,1,18517.71,0.1
I000355,O00213,P0061,1,9428.51,0.05
I000356,O00213,P0100,3,7091.79,0.05
I000357,O00214,P0404,1,7190.22,0.15
I000358,O00214,P0287,1,11017.89,0.15
I000359,O00215,P0023,1,8677.28,0.0
I000360,O00215,P0024,1,14146.9,0.0
I000361,O00216,P0082,1,8524.01,0.15
I000362,O00217,P0358,1,17680.82,0.0
I000363,O00218,P0182,1,7028.31,0.0
I000364,O00218,P0187,1,6663.59,0.0
I000365,O00218,P0090,2,19317.51,0.0
I000366,O00219,P0152,1,11257.85,0.05
I000367,O00219,P0189,1,1077.94,0.05
I000368,O00219,P0145,3,5897.75,0.05
I000369,O00220,P0500,1,14456.78,0.05
I000370,O00221,P0447,1,13008.01,0.1
I000371,O00222,P0364,1,20513.3,0.1
I000372,O00222,P0486,2,7416.01,0.1
I000373,O00223,P0137,1,2945.06,0.15
I000374,O00223,P0274,1,16208.88,0.15
I000375,O00223,P0361,2,8061.24,0.15
I000376,O00223,P0028,2,2327.59,0.15
I000377,O00224,P0399,4,9834.2,0.0
I000378,O00224,P0214,2,3598.9,0.0
I000379,O00225,P0447,2,13008.01,0.2
I000380,O00226,P0337,1,6259.83,0.2
I000381,O00227,P0166,1,4299.84,0.05
I000382,O00227,P0290,3,5856.65,0.05
I000383,O00228,P0425,1,3871.16,0.1
I000384,O00229,P0289,3,5068.21,0.1
I000385,O00229,P0042,1,18369.63,0.1
I000386,O00230,P0103,1,9874.02,0.25
I000387,O00231,P0294,1,9318.36,0.2
I000388,O00232,P0126,1,12590.35,0.0
I000389,O00232,P0103,2,9874.02,0.0
I000390,O00233,P0099,3,11095.32,0.25
I000391,O00234,P0193,1,3841.48,0.0
I000392,O00234,P0122,1,20389.93,0.0
I000393,O00234,P0092,1,3959.04,0.0
I000394,O00234,P0490,2,17879.27,0.0
I000395,O00235,P0026,1,8043.88,0.1
I000396,O00236,P0048,1,881.87,0.05
I000397,O00237,P0489,1,16108.48,0.05
I000398,O00238,P0441,1,11253.53,0.1
I000399,O00239,P0005,4,2113.83,0.1
I000400,O00240,P0463,1,7934.67,0.0
I000401,O00240,P0218,1,10519.23,0.0
I000402,O00241,P0404,2,7190.22,0.25
I000403,O00241,P0216,1,4253.32,0.25
I000404,O00241,P0383,4,5460.56,0.25
I000405,O00242,P0340,1,6540.28,0.0
I000406,O00242,P0191,1,14335.92,0.0
I000407,O00242,P0262,1,12660.19,0.0
I000408,O00243,P0250,1,17490.25,0.05
I000409,O00243,P0004,1,21658.55,0.05
I000410,O00244,P0326,2,1200.34,0.15
I000411,O00244,P0422,1,6180.37,0.15
I000412,O00245,P0131,2,2329.3,0.2
I000413,O00246,P0399,1,9834.2,0.15
I000414,O00247,P0236,5,13763.86,0.05
I000415,O00248,P0353,3,4627.28,0.15
I000416,O00249,P0473,2,731.76,0.15
I000417,O00250,P0480,1,12036.43,0.1
I000418,O00251,P0213,1,13682.03,0.15
I000419,O00251,P0339,1,8938.6,0.15
I000420,O00251,P0041,1,11579.02,0.15
I000421,O00252,P0027,1,6637.92,0.1
I000422,O00253,P0044,3,4750.75,0.0
I000423,O00253,P0263,2,12622.11,0.0
I000424,O00254,P0109,1,7019.11,0.05
I000425,O00255,P0037,2,5389.2,0.15
I000426,O00255,P0387,1,11008.74,0.15
I000427,O00256,P0267,1,13380.29,0.05
I000428,O00256,P0298,1,14301.55,0.05
I000429,O00257,P0487,1,2276.61,0.1
I000430,O00258,P0417,2,7877.14,0.1
I000431,O00258,P0118,1,11312.75,0.1
I000432,O00259,P0490,1,17879.27,0.15
I000433,O00259,P0263,1,12622.11,0.15
I000434,O00260,P0173,1,11347.23,0.05
I000435,O00260,P0408,1,12252.4,0.05
I000436,O00261,P0235,1,17675.52,0.1
I000437,O00261,P0210,2,3425.1,0.1
I000438,O00262,P0101,4,13448.78,0.1
I000439,O00263,P0146,1,12538.22,0.2
I000440,O00263,P0103,1,9874.02,0.2
I000441,O00264,P0101,3,13448.78,0.1
I000442,O00264,P0085,1,14574.29,0.1
I000443,O00265,P0373,1,8955.67,0.05
I000444,O00265,P0097,2,16913.36,0.05
I000445,O00266,P0049,1,10387.8,0.1
I000446,O00267,P0294,1,9318.36,0.0
I000447,O00267,P0376,1,21096.71,0.0
I000448,O00267,P0471,1,3362.5,0.0
I000449,O00268,P0350,2,14181.21,0.1
I000450,O00268,P0320,2,22881.56,0.1
I000451,O00268,P0145,2,5897.75,0.1
I000452,O00269,P0024,4,14146.9,0.2
I000453,O00270,P0350,1,14181.21,0.1
I000454,O00271,P0330,1,621.58,0.05
I000455,O00272,P0218,1,10519.23,0.1
I000456,O00273,P0114,2,2768.84,0.2
I000457,O00273,P0152,1,11257.85,0.2
I000458,O00274,P0494,2,9857.51,0.15
I000459,O00274,P0282,1,4087.36,0.15
I000460,O00275,P0342,1,8867.09,0.15
I000461,O00276,P0429,5,4623.76,0.1
I000462,O00276,P0395,1,16050.27,0.1
I000463,O00277,P0109,2,7019.11,0.05
I000464,O00277,P0270,1,15544.12,0.05
I000465,O00277,P0218,2,10519.23,0.05
I000466,O00278,P0146,1,12538.22,0.0
I000467,O00279,P0041,2,11579.02,0.25
I000468,O00280,P0209,1,17935.22,0.0
I000469,O00280,P0212,1,15959.35,0.0
I000470,O00280,P0237,2,13454.07,0.0
I000471,O00281,P0282,1,4087.36,0.05
I000472,O00281,P0463,4,7934.67,0.05
I000473,O00281,P0037,2,5389.2,0.05
I000474,O00282,P0425,1,3871.16,0.15
I000475,O00283,P0363,4,11446.48,0.05
I000476,O00283,P0493,3,17331.35,0.05
I000477,O00284,P0258,2,5357.22,0.1
I000478,O00285,P0384,1,21014.31,0.15
I000479,O00286,P0445,2,5378.95,0.1
I000480,O00287,P0175,3,8354.48,0.1
I000481,O00287,P0288,1,16170.77,0.1
I000482,O00288,P0165,1,8775.25,0.0
I000483,O00289,P0047,1,3795.44,0.1
I000484,O00289,P0235,4,17675.52,0.1
I000485,O00290,P0310,1,6739.9,0.1
I000486,O00290,P0353,3,4627.28,0.1
I000487,O00291,P0289,4,5068.21,0.2
I000488,O00292,P0352,2,10103.59,0.1
I000489,O00292,P0063,1,17989.43,0.1
I000490,O00293,P0274,1,16208.88,0.1
I000491,O00294,P0422,1,6180.37,0.15
I000492,O00295,P0086,2,12651.01,0.1
I000493,O00295,P0173,1,11347.23,0.1
I000494,O00296,P0256,1,10413.89,0.05
I000495,O00296,P0238,2,16729.81,0.05
I000496,O00296,P0426,1,17258.9,0.05
I000497,O00297,P0152,1,11257.85,0.2
I000498,O00297,P0080,4,8081.72,0.2
I000499,O00297,P0231,1,5606.43,0.2
I000500,O00298,P0433,1,11369.56,0.2
I000501,O00299,P0450,1,2255.15,0.2
I000502,O00299,P0189,3,1077.94,0.2
I000503,O00300,P0040,3,10694.19,0.05
I000504,O00300,P0107,1,12811.73,0.05
I000505,O00301,P0154,1,13970.67,0.05
I000506,O00302,P0251,1,13718.51,0.2
I000507,O00303,P0292,2,21583.15,0.0
I000508,O00303,P0227,3,1214.17,0.0
I000509,O00304,P0362,1,7754.84,0.15
I000510,O00304,P0034,4,3767.39,0.15
I000511,O00304,P0282,1,4087.36,0.15
I000512,O00305,P0171,2,6118.98,0.05
I000513,O00306,P0162,2,11199.84,0.15
I000514,O00306,P0337,2,6259.83,0.15
I000515,O00307,P0047,4,3795.44,0.2
I000516,O00308,P0371,2,14987.41,0.1
I000517,O00308,P0318,1,18336.52,0.1
I000518,O00308,P0420,2,5156.99,0.1
I000519,O00309,P0283,1,10933.03,0.0
I000520,O00309,P0051,1,13023.34,0.0
I000521,O00309,P0253,1,10206.89,0.0
I000522,O00310,P0343,2,21720.15,0.15
I000523,O00310,P0262,1,12660.19,0.15
I000524,O00310,P0447,1,13008.01,0.15
I000525,O00311,P0159,1,12341.8,0.0
I000526,O00311,P0141,1,2669.4,0.0
I000527,O00311,P0073,1,14367.83,0.0
I000528,O00311,P0401,2,18961.41,0.0
I000529,O00312,P0242,2,12806.32,0.0
I000530,O00312,P0296,1,10086.41,0.0
I000531,O00312,P0289,2,5068.21,0.0
I000532,O00313,P0059,2,7497.65,0.2
I000533,O00314,P0103,1,9874.02,0.15
I000534,O00314,P0402,2,5149.65,0.15
I000535,O00315,P0240,1,16345.25,0.1
I000536,O00316,P0440,1,10988.87,0.15
I000537,O00317,P0313,1,15225.55,0.25
I000538,O00318,P0299,1,9253.96,0.0
I000539,O00318,P0155,1,16173.54,0.0
I000540,O00318,P0236,1,13763.86,0.0
I000541,O00319,P0041,1,11579.02,0.05
I000542,O00319,P0362,1,7754.84,0.05
I000543,O00320,P0395,2,16050.27,0.15
I000544,O00320,P0128,3,11542.08,0.15
I000545,O00321,P0465,1,7131.53,0.05
I000546,O00322,P0271,1,10464.94,0.05
I000547,O00323,P0239,1,10044.2,0.1
I000548,O00324,P0363,1,11446.48,0.15
I000549,O00325,P0420,2,5156.99,0.05
I000550,O00326,P0257,1,8094.05,0.1
I000551,O00327,P0264,1,11827.53,0.1
I000552,O00327,P0232,3,14966.59,0.1
I000553,O00328,P0209,1,17935.22,0.0
I000554,O00329,P0253,1,10206.89,0.1
I000555,O00329,P0002,3,685.44,0.1
I000556,O00329,P0145,1,5897.75,0.1
I000557,O00330,P0353,2,4627.28,0.2
I000558,O00330,P0292,1,21583.15,0.2
I000559,O00331,P0189,1,1077.94,0.15
I000560,O00331,P0455,2,6841.97,0.15
I000561,O00331,P0346,1,17166.81,0.15
I000562,O00332,P0389,1,10740.24,0.1
I000563,O00333,P0332,3,9365.5,0.0
I000564,O00333,P0473,1,731.76,0.0
I000565,O00334,P0308,2,10963.13,0.0
I000566,O00334,P0427,1,2376.46,0.0
I000567,O00334,P0001,3,12680.89,0.0
I000568,O00335,P0393,3,1256.74,0.0
I000569,O00335,P0476,2,1078.88,0.0
I000570,O00336,P0262,1,12660.19,0.15
I000571,O00337,P0148,1,3827.6,0.15
I000572,O00337,P0089,1,21527.82,0.15
I000573,O00338,P0329,1,6837.04,0.15
I000574,O00339,P0165,1,8775.25,0.05
I000575,O00339,P0470,2,16384.1,0.05
I000576,O00340,P0472,1,6339.28,0.0
I000577,O00341,P0203,4,14797.26,0.15
I000578,O00342,P0373,1,8955.67,0.25
I000579,O00343,P0150,2,19657.29,0.1
I000580,O00344,P0279,2,820.43,0.15
I000581,O00345,P0138,4,9332.54,0.15
I000582,O00346,P0287,1,11017.89,0.2
I000583,O00347,P0432,1,1677.91,0.0
I000584,O00348,P0292,2,21583.15,0.25
I000585,O00348,P0483,1,14346.17,0.25
I000586,O00348,P0253,5,10206.89,0.25
I000587,O00349,P0092,1,3959.04,0.2
I000588,O00350,P0247,1,5866.18,0.2
I000589,O00351,P0110,1,239.19,0.3
I000590,O00351,P0429,3,4623.76,0.3
I000591,O00351,P0459,2,15147.66,0.3
I000592,O00352,P0282,2,4087.36,0.1
I000593,O00353,P0131,2,2329.3,0.0
I000594,O00354,P0025,1,21151.19,0.2
I000595,O00355,P0359,1,17408.84,0.0
I000596,O00356,P0024,1,14146.9,0.15
I000597,O00356,P0037,3,5389.2,0.15
I000598,O00357,P0105,2,10085.48,0.1
I000599,O00358,P0204,1,3139.42,0.0
I000600,O00358,P0232,1,14966.59,0.0
I000601,O00359,P0135,2,13687.78,0.1
I000602,O00360,P0348,1,19194.75,0.15
I000603,O00361,P0278,1,4045.44,0.0
I000604,O00362,P0019,3,7331.38,0.0
I000605,O00363,P0297,1,14103.76,0.1
I000606,O00363,P0080,1,8081.72,0.1
