Campaign_ID,Customer_ID,Campaign_Type,Campaign_Name,Campaign_Date,Sent,Opened,Clicked,Converted,Campaign_Cost
M00113,C04094,Email,Clearance,2025-10-18,1,1,0,0,3.17
M00114,C00840,Social,Clearance,2025-01-28,1,1,1,0,0.56
M00115,C00536,Social,Festive Sale,2025-06-19,1,1,0,0,2.38
M00116,C03946,Email,New Arrival,2025-08-25,1,0,1,1,4.28
M00117,C03505,Social,Weekend Offer,2025-01-06,1,0,0,0,5.91
M00118,C03471,SMS,Weekend Offer,2025-08-10,1,0,0,0,2.95
M00119,C00307,Email,Festive Sale,2025-05-24,1,1,1,0,7.85
M00120,C03303,Email,New Arrival,2025-01-25,1,0,0,0,7.64
M00121,C04608,SMS,Loyalty Offer,2025-11-17,1,0,0,0,1.34
M00122,C03972,SMS,New Arrival,2025-04-24,1,0,0,0,1.75
M00123,C03871,Email,Win Back,2025-10-06,1,1,1,0,1.33
M00124,C02175,Push,Win Back,2025-07-03,1,0,0,0,1.48
M00125,C02804,Push,Festive Sale,2025-08-14,1,1,0,0,3.78
M00126,C01504,Social,Win Back,2025-12-10,1,1,0,0,5.21
M00127,C02762,Push,Win Back,2025-09-04,1,0,0,0,4.85
M00128,C00860,Email,Weekend Offer,2025-12-18,1,0,0,0,3.71
M00129,C00885,Social,Clearance,2025-09-08,1,0,0,0,5.49
M00130,C00038,SMS,New Arrival,2025-08-22,1,1,1,1,5.28
M00131,C00465,Social,New Arrival,2025-05-10,1,0,0,0,0.71
M00132,C00296,SMS,Loyalty Offer,2025-10-17,1,0,0,0,5.85
M00133,C03292,Push,Clearance,2025-04-22,1,0,1,0,3.93
M00134,C02218,Email,Weekend Offer,2025-10-22,1,0,0,0,3.19
M00135,C04395,Push,Win Back,2025-04-01,1,0,0,0,5.45
M00136,C00822,SMS,Win Back,2025-11-14,1,0,1,0,0.55
M00137,C02153,Email,Loyalty Offer,2025-01-08,1,1,1,0,6.75
M00138,C04534,Social,Festive Sale,2025-12-08,1,1,1,0,6.94
M00139,C00159,SMS,Win Back,2025-10-28,1,0,0,0,5.69
M00140,C04978,Social,Festive Sale,2025-12-22,1,1,0,0,0.71
M00141,C01939,Email,Clearance,2025-02-01,1,1,0,0,3.18
M00142,C01778,SMS,Weekend Offer,2025-10-29,1,1,0,0,7.11
M00143,C02736,Email,Clearance,2025-12-18,1,1,0,0,3.73
M00144,C02939,Social,New Arrival,2025-11-27,1,0,0,0,3.4
M00145,C03518,SMS,Clearance,2025-11-27,1,1,1,1,6.92
M00146,C02001,SMS,New Arrival,2025-04-01,1,0,0,1,1.05
M00147,C04531,SMS,Festive Sale,2025-05-20,1,0,0,0,7.7
M00148,C02443,SMS,Loyalty Offer,2025-10-10,1,1,0,0,3.78
M00149,C03190,Email,New Arrival,2025-08-19,1,0,0,0,5.27
M00150,C01941,Email,Clearance,2025-01-01,1,0,0,0,5.14
M00151,C01826,Social,Clearance,2025-07-28,1,0,0,0,0.85
M00152,C00329,Email,Weekend Offer,2025-10-16,1,0,1,1,4.3
M00153,C00585,SMS,Weekend Offer,2025-06-18,1,1,0,0,3.5
M00154,C02593,SMS,Weekend Offer,2025-03-03,1,0,0,0,0.54
M00155,C03521,Push,Festive Sale,2025-03-27,1,1,0,0,0.63
M00156,C04452,SMS,Clearance,2025-02-21,1,1,0,0,7.2
M00157,C01450,Social,Loyalty Offer,2025-03-20,1,0,0,0,5.28
M00158,C02058,Email,Clearance,2025-03-10,1,0,1,0,1.2
M00159,C01327,Social,Win Back,2025-04-02,1,1,0,0,1.55
M00160,C00732,Email,New Arrival,2025-06-24,1,0,0,0,3.22
M00161,C00358,Email,Clearance,2025-11-26,1,0,0,0,7.13
M00162,C03540,Email,Win Back,2025-09-24,1,0,0,0,3.29
M00163,C02766,Social,New Arrival,2025-03-19,1,0,0,0,5.84
M00164,C03482,Push,Festive Sale,2025-04-01,1,1,1,0,6.83
M00165,C00428,SMS,Win Back,2025-02-19,1,0,0,0,4.88
M00166,C01005,Email,Weekend Offer,2025-10-09,1,1,0,0,3.6
M00167,C00557,Email,Win Back,2025-11-21,1,1,0,0,5.6
M00168,C04688,Push,Festive Sale,2025-01-04,1,1,0,0,7.37
M00169,C03500,Push,Loyalty Offer,2025-09-06,1,0,0,0,4.82
M00170,C04250,Social,Festive Sale,2025-07-23,1,0,0,0,5.88
M00171,C01906,Email,Weekend Offer,2025-06-17,1,0,0,0,2.94
M00172,C02447,SMS,Clearance,2025-07-07,1,1,0,0,6.9
M00173,C02759,Push,New Arrival,2025-05-07,1,0,0,0,7.06
M00174,C00202,Push,Win Back,2025-10-26,1,1,1,0,0.88
M00175,C01825,Email,Clearance,2025-11-17,1,0,1,1,5.06
M00176,C02922,Email,New Arrival,2025-06-13,1,0,0,0,4.66
M00177,C02305,Email,Clearance,2025-08-22,1,1,0,0,2.13
M00178,C01587,SMS,New Arrival,2025-06-09,1,1,0,0,7.72
M00179,C04502,Email,Weekend Offer,2025-11-17,1,0,0,0,0.67
M00180,C02346,Email,Loyalty Offer,2025-09-13,1,0,0,0,7.58
M00181,C04615,Email,New Arrival,2025-04-26,1,0,0,0,7.14
M00182,C02794,Email,Loyalty Offer,2025-03-19,1,0,0,1,7.57
M00183,C04679,Email,Clearance,2025-03-25,1,1,0,0,6.7
M00184,C02329,SMS,Weekend Offer,2025-02-22,1,0,0,0,7.37
M00185,C04685,Email,Festive Sale,2025-11-04,1,1,0,0,6.3
M00186,C04958,Email,Weekend Offer,2025-05-24,1,0,0,0,7.96
M00187,C03306,Social,Weekend Offer,2025-05-10,1,1,0,0,7.15
M00188,C02853,Social,Weekend Offer,2025-11-26,1,1,0,0,7.9
M00189,C04167,Email,Festive Sale,2025-05-31,1,0,0,0,5.12
M00190,C01620,Social,Weekend Offer,2025-03-12,1,0,0,0,1.41
M00191,C03357,Social,Clearance,2025-01-30,1,0,0,0,1.01
M00192,C01427,Email,Win Back,2025-01-14,1,1,0,0,5.42
M00193,C02276,SMS,Loyalty Offer,2025-10-01,1,1,0,0,6.65
M00194,C02771,Social,Clearance,2025-09-03,1,0,0,0,3.44
M00195,C04207,Push,Win Back,2025-09-26,1,0,0,0,7.91
M00196,C02245,Push,Weekend Offer,2025-01-13,1,1,0,0,5.29
M00197,C02771,SMS,Weekend Offer,2025-05-01,1,0,0,0,6.56
M00198,C00708,Email,Loyalty Offer,2025-04-03,1,1,0,0,7.23
M00199,C04973,Social,New Arrival,2025-06-12,1,0,0,0,2.45
M00200,C03418,SMS,Win Back,2025-06-21,1,1,0,0,5.23
M00201,C01116,Email,Weekend Offer,2025-06-18,1,1,0,0,7.24
M00202,C00302,SMS,Weekend Offer,2025-06-13,1,1,0,0,3.73
M00203,C04829,Push,Win Back,2025-05-31,1,1,0,0,5.68
M00204,C03480,Email,Weekend Offer,2025-02-08,1,0,0,0,7.26
M00205,C03924,Social,Weekend Offer,2025-03-22,1,1,1,0,3.59
M00206,C02182,Email,Loyalty Offer,2025-05-12,1,0,0,0,5.62
M00207,C03586,Email,Clearance,2025-04-05,1,0,0,0,6.23
M00208,C02191,Email,Weekend Offer,2025-06-18,1,0,1,0,6.24
M00209,C02320,Email,New Arrival,2025-09-04,1,0,0,0,6.68
M00210,C01645,Push,Win Back,2025-05-10,1,0,0,0,1.64
M00211,C01321,Social,Win Back,2025-01-12,1,1,1,0,3.31
M00212,C03448,Social,Loyalty Offer,2025-10-02,1,1,0,0,1.74
M00213,C03218,Email,Festive Sale,2025-01-18,1,1,0,0,5.8
M00214,C03860,Push,Weekend Offer,2025-03-06,1,1,1,1,3.6
M00215,C00393,Social,Clearance,2025-11-16,1,1,0,0,4.7
M00216,C00685,Push,Festive Sale,2025-11-03,1,0,1,0,1.08
M00217,C00273,Email,New Arrival,2025-06-21,1,0,0,0,5.37
M00218,C02675,Email,Weekend Offer,2025-10-10,1,0,0,0,2.43
M00219,C01083,Email,Clearance,2025-04-22,1,1,0,0,7.14
M00220,C04241,Social,New Arrival,2025-07-23,1,0,0,0,0.76
M00221,C03162,Email,Weekend Offer,2025-04-20,1,1,0,0,0.68
M00222,C00914,Email,Weekend Offer,2025-05-26,1,1,0,0,5.88
M00223,C04396,SMS,Win Back,2025-03-12,1,1,0,0,7.9
M00224,C01687,SMS,New Arrival,2025-10-03,1,0,0,0,6.22
M00225,C01293,Push,Weekend Offer,2025-09-08,1,0,0,0,7.17
M00226,C03010,SMS,Clearance,2025-03-12,1,1,1,1,0.66
M00227,C01278,Push,Loyalty Offer,2025-01-25,1,0,0,0,6.96
M00228,C01713,SMS,Weekend Offer,2025-05-08,1,1,1,0,0.64
M00229,C02173,SMS,Loyalty Offer,2025-04-03,1,0,0,0,6.22
M00230,C03562,Email,Loyalty Offer,2025-07-03,1,0,0,0,1.85
M00231,C02307,Email,Loyalty Offer,2025-07-31,1,1,0,0,7.26
M00232,C00007,SMS,Festive Sale,2025-09-23,1,0,0,0,7.95
M00233,C02748,SMS,Win Back,2025-09-14,1,0,0,0,7.11
M00234,C00117,Email,Festive Sale,2025-07-26,1,0,0,0,7.8
M00235,C02583,Email,Clearance,2025-06-17,1,1,0,0,6.22
M00236,C00772,Email,Weekend Offer,2025-08-08,1,0,0,0,0.97
M00237,C00655,Email,Festive Sale,2025-04-13,1,1,1,0,6.34
M00238,C01470,SMS,Festive Sale,2025-01-02,1,0,0,0,1.38
M00239,C04200,Social,Loyalty Offer,2025-10-05,1,0,0,0,7.92
M00240,C02341,SMS,New Arrival,2025-12-30,1,1,1,0,5.0
M00241,C03710,Email,Win Back,2025-02-10,1,1,0,0,4.89
M00242,C01547,Email,Win Back,2025-06-12,1,1,0,0,3.86
M00243,C02340,Email,Win Back,2025-09-16,1,0,0,0,0.65
M00244,C04998,Social,Weekend Offer,2025-02-10,1,0,0,0,2.89
M00245,C02270,Social,Weekend Offer,2025-07-12,1,0,0,0,1.65
M00246,C02183,Social,Festive Sale,2025-07-06,1,0,0,0,2.76
M00247,C01416,SMS,Weekend Offer,2025-12-25,1,1,1,0,2.22
M00248,C00952,Social,Weekend Offer,2025-05-30,1,0,0,0,7.12
M00249,C03080,Social,Festive Sale,2025-10-23,1,1,0,0,0.8
M00250,C00932,Email,Weekend Offer,2025-06-03,1,1,0,0,3.32
M00251,C02143,Social,Weekend Offer,2025-01-06,1,1,0,0,5.9
M00252,C00346,Social,Festive Sale,2025-01-24,1,0,0,0,5.78
M00253,C02623,Social,New Arrival,2025-10-02,1,0,0,0,6.49
M00254,C04357,Push,New Arrival,2025-03-12,1,1,1,1,0.73
M00255,C03059,Email,Festive Sale,2025-06-15,1,0,0,0,5.43
M00256,C04557,Social,New Arrival,2025-07-30,1,1,0,0,4.74
M00257,C01874,SMS,Weekend Offer,2025-12-31,1,1,0,0,7.05
M00258,C02601,Email,Weekend Offer,2025-03-01,1,1,0,0,3.24
M00259,C00554,SMS,Loyalty Offer,2025-09-25,1,0,0,0,2.68
M00260,C02763,Email,Win Back,2025-08-20,1,0,0,0,4.84
M00261,C03436,Social,Clearance,2025-03-20,1,1,0,0,2.37
M00262,C04358,Push,Win Back,2025-04-20,1,1,1,0,3.98
M00263,C02202,Social,Win Back,2025-07-29,1,1,0,0,6.8
M00264,C03179,SMS,Win Back,2025-09-30,1,0,0,0,1.38
M00265,C03696,SMS,Clearance,2025-07-26,1,0,0,0,4.12
M00266,C00946,Push,Clearance,2025-02-07,1,0,0,0,2.08
M00267,C04225,Email,Win Back,2025-02-26,1,0,0,0,3.08
M00268,C04357,Email,Weekend Offer,2025-06-17,1,1,1,0,5.36
M00269,C02743,Push,Loyalty Offer,2025-04-30,1,0,1,0,2.42
M00270,C02541,Email,Loyalty Offer,2025-08-10,1,1,0,0,3.8
M00271,C00584,Email,Clearance,2025-12-07,1,0,0,0,4.06
M00272,C00675,Push,Loyalty Offer,2025-06-07,1,1,0,0,6.56
M00273,C02325,Social,Weekend Offer,2025-08-29,1,0,0,0,7.68
M00274,C01740,SMS,Weekend Offer,2025-11-01,1,0,0,0,5.64
M00275,C02501,Email,Festive Sale,2025-09-04,1,1,1,0,0.51
M00276,C00295,Email,Loyalty Offer,2025-03-02,1,1,1,0,6.49
M00277,C00062,SMS,New Arrival,2025-12-09,1,1,1,1,7.35
M00278,C02545,Push,Festive Sale,2025-05-15,1,0,0,0,7.17
M00279,C03270,Email,Festive Sale,2025-07-28,1,0,0,0,2.24
M00280,C03783,Social,New Arrival,2025-06-04,1,0,0,0,7.13
M00281,C04328,Push,New Arrival,2025-02-09,1,1,0,0,4.54
M00282,C03322,Social,Loyalty Offer,2025-02-05,1,1,1,1,5.15
M00283,C01387,SMS,Win Back,2025-12-08,1,0,0,0,5.13
M00284,C01279,Social,Loyalty Offer,2025-12-24,1,0,0,0,5.89
M00285,C02304,SMS,Win Back,2025-02-15,1,0,0,0,0.63
M00286,C01953,Social,Weekend Offer,2025-06-13,1,0,0,0,3.65
M00287,C01004,SMS,Clearance,2025-09-20,1,0,0,0,1.32
M00288,C00167,Email,Weekend Offer,2025-10-15,1,0,0,0,3.44
M00289,C04230,Social,Clearance,2025-04-29,1,0,0,0,6.49
M00290,C00843,Email,Loyalty Offer,2025-08-22,1,0,0,0,6.06
M00291,C03691,Email,Festive Sale,2025-07-04,1,0,1,0,3.36
M00292,C02556,Email,Win Back,2025-06-15,1,0,0,0,7.37
M00293,C00825,Email,Clearance,2025-03-22,1,0,0,0,7.64
M00294,C00886,SMS,Clearance,2025-07-14,1,1,1,0,0.95
M00295,C02602,Email,Win Back,2025-01-10,1,1,0,0,2.14
M00296,C03926,Email,New Arrival,2025-08-18,1,0,0,0,3.93
M00297,C04198,Social,Weekend Offer,2025-07-22,1,0,1,0,1.62
M00298,C01074,Email,Win Back,2025-01-19,1,0,0,0,2.87
M00299,C00476,Email,Loyalty Offer,2025-09-14,1,1,1,0,4.67
M00300,C00109,Email,Loyalty Offer,2025-11-29,1,0,0,0,3.01
M00301,C04722,Email,Win Back,2025-12-27,1,0,0,0,1.11
M00302,C04140,Email,Clearance,2025-06-08,1,0,0,0,2.91
M00303,C04873,Email,Festive Sale,2025-01-16,1,1,0,0,6.58
M00304,C01169,Social,New Arrival,2025-04-24,1,1,0,0,0.56
M00305,C04516,Social,Loyalty Offer,2025-12-08,1,0,0,0,6.51
M00306,C04043,SMS,New Arrival,2025-04-30,1,0,0,0,4.91
M00307,C01169,Email,Festive Sale,2025-04-02,1,0,0,0,2.65
M00308,C04304,Push,New Arrival,2025-03-25,1,1,0,0,3.24
M00309,C04018,Push,New Arrival,2025-12-14,1,1,0,0,0.99
M00310,C00503,Email,Festive Sale,2025-09-19,1,0,0,0,7.09
M00311,C03635,Email,Weekend Offer,2025-10-07,1,0,0,0,6.22
M00312,C02062,SMS,Festive Sale,2025-08-03,1,0,0,0,4.07
M00313,C03717,SMS,Loyalty Offer,2025-05-16,1,0,0,0,3.93
M00314,C00650,SMS,New Arrival,2025-09-18,1,1,1,0,0.62
M00315,C04901,Social,Loyalty Offer,2025-11-28,1,1,1,0,7.77
M00316,C00508,Social,Clearance,2025-11-23,1,0,0,0,6.14
M00317,C00353,Push,Clearance,2025-12-07,1,1,0,0,1.3
M00318,C04756,Email,New Arrival,2025-06-27,1,0,0,0,7.65
M00319,C01959,Email,Loyalty Offer,2025-05-24,1,0,0,0,4.24
M00320,C02068,Email,Weekend Offer,2025-04-16,1,0,0,0,4.74
M00321,C01534,Social,Win Back,2025-12-28,1,0,0,0,3.35
M00322,C00440,SMS,Clearance,2025-07-03,1,1,0,0,5.67
M00323,C01888,SMS,Win Back,2025-06-10,1,0,0,0,2.05
M00324,C01395,Email,New Arrival,2025-04-19,1,0,0,0,5.5
M00325,C00738,Push,Win Back,2025-01-30,1,1,1,1,1.4
M00326,C01345,Email,New Arrival,2025-10-13,1,0,0,0,6.69
M00327,C02393,SMS,Clearance,2025-04-17,1,1,0,0,6.11
M00328,C00975,Push,Weekend Offer,2025-12-04,1,0,0,0,0.68
M00329,C01686,Push,Festive Sale,2025-02-26,1,1,0,0,3.39
M00330,C02791,Social,Loyalty Offer,2025-09-05,1,0,0,0,3.94
M00331,C04637,SMS,Weekend Offer,2025-04-05,1,1,0,0,2.03
M00332,C02354,Social,New Arrival,2025-03-27,1,0,0,0,7.87
M00333,C02823,Social,Loyalty Offer,2025-09-18,1,1,0,1,0.81
M00334,C02690,Email,Weekend Offer,2025-08-05,1,0,0,0,2.9
M00335,C00536,Push,Clearance,2025-11-15,1,0,0,0,5.11
M00336,C02719,Push,Loyalty Offer,2025-09-15,1,1,0,0,4.85
M00337,C03071,Social,Festive Sale,2025-09-27,1,0,0,0,1.98
M00338,C02444,Push,Festive Sale,2025-10-29,1,0,0,0,2.8
M00339,C03254,Social,Weekend Offer,2025-01-06,1,0,0,0,2.17
M00340,C03683,Email,Win Back,2025-02-17,1,0,0,0,0.88
M00341,C02544,Email,Win Back,2025-07-06,1,0,0,0,1.27
M00342,C00682,SMS,Win Back,2025-12-13,1,0,0,0,5.19
M00343,C02656,Email,Weekend Offer,2025-10-04,1,0,0,0,7.88
M00344,C00272,Social,Loyalty Offer,2025-08-10,1,0,0,0,6.95
M00345,C04273,Email,New Arrival,2025-03-17,1,0,0,0,5.09
M00346,C01068,Email,Loyalty Offer,2025-03-31,1,0,0,0,0.54
M00347,C03903,Email,Weekend Offer,2025-09-22,1,0,0,0,7.4
M00348,C00050,Email,New Arrival,2025-06-15,1,0,0,0,6.85
M00349,C04343,Social,Loyalty Offer,2025-09-29,1,0,0,0,3.5
M00350,C00199,SMS,Festive Sale,2025-07-29,1,0,0,0,4.03
M00351,C03853,Social,Weekend Offer,2025-05-10,1,0,0,0,4.45
M00352,C00150,Social,Clearance,2025-10-21,1,0,0,0,5.46
M00353,C03690,Email,Clearance,2025-03-25,1,0,0,0,7.44
M00354,C01994,SMS,Loyalty Offer,2025-11-03,1,0,0,0,0.68
M00355,C03774,Social,Loyalty Offer,2025-12-05,1,1,1,1,6.04
M00356,C01933,Push,Festive Sale,2025-03-09,1,0,0,0,1.93
M00357,C00896,Social,Win Back,2025-04-15,1,0,0,0,0.8
M00358,C04859,Social,Win Back,2025-09-29,1,0,0,0,5.17
M00359,C00054,Push,Loyalty Offer,2025-12-18,1,1,1,0,0.73
M00360,C03555,Social,Festive Sale,2025-05-10,1,0,0,0,0.91
M00361,C04552,Push,Weekend Offer,2025-10-03,1,1,0,0,0.5
M00362,C01428,Social,Weekend Offer,2025-10-12,1,1,0,0,5.64
M00363,C00506,Social,Win Back,2025-02-10,1,0,0,0,0.84
M00364,C01584,Email,Loyalty Offer,2025-07-24,1,0,0,0,3.93
M00365,C01246,Email,Clearance,2025-05-09,1,1,0,0,1.6
M00366,C04679,Email,Loyalty Offer,2025-07-26,1,0,0,0,0.89
M00367,C00622,Email,Festive Sale,2025-09-26,1,0,0,0,3.0
M00368,C00424,SMS,Loyalty Offer,2025-01-29,1,0,0,0,3.59
M00369,C03868,Email,New Arrival,2025-11-02,1,1,0,0,1.25
M00370,C04666,Social,Loyalty Offer,2025-11-12,1,0,0,0,5.78
M00371,C04865,Email,Win Back,2025-04-20,1,1,1,1,4.74
M00372,C04807,Social,Festive Sale,2025-04-17,1,1,0,0,3.19
M00373,C03631,Email,Win Back,2025-07-01,1,0,0,0,5.75
M00374,C04320,Email,Festive Sale,2025-03-01,1,0,0,0,2.04
M00375,C02729,Email,New Arrival,2025-10-29,1,1,1,1,1.5
