Order_ID,Customer_ID,Order_Date,Payment_Method,Shipping_City,Order_Status,Discount_Percentage
O00070,C04706,"2025-06-13 00:00:00",COD,Bangalore,Delivered,10
O00071,C01945,"2025-05-29 00:00:00",Card,Jaipur,Delivered,10
O00072,C04840,"2025-10-17 00:00:00",Card,Kolkata,Delivered,15
O00073,C03959,"2025-03-28 00:00:00",UPI,Bangalore,Delivered,10
O00074,C04665,"2025-06-11 00:00:00",Card,Pune,Returned,5
O00075,C01685,"2025-06-17 00:00:00",UPI,Kochi,Delivered,15
O00076,C02437,"2025-05-15 00:00:00",UPI,Kolkata,Delivered,15
O00077,C00971,"2025-03-31 00:00:00",UPI,Chennai,Delivered,0
O00078,C00747,"2025-11-04 00:00:00",UPI,Lucknow,Delivered,5
O00079,C02185,"2025-11-01 00:00:00",Card,Pune,Delivered,25
O00080,C01385,"2025-03-22 00:00:00",Card,Pune,Delivered,0
O00081,C04031,"2025-12-17 00:00:00",Card,Jaipur,Delivered,5
O00082,C01019,"2025-08-19 00:00:00",Card,Jaipur,Returned,10
O00083,C02579,"2025-03-30 00:00:00",COD,Pune,Delivered,5
O00084,C04112,"2025-10-20 00:00:00",UPI,Indore,Delivered,15
O00085,C04664,"2025-01-02 00:00:00",Card,Kochi,Delivered,5
O00086,C03941,"2025-12-18 00:00:00",COD,Jaipur,Delivered,10
O00087,C02025,"2025-08-10 00:00:00",UPI,Chennai,Delivered,30
O00088,C01543,"2025-01-17 00:00:00",Card,Mumbai,Delivered,5
O00089,C02712,"2025-07-15 00:00:00",Card,Jaipur,Delivered,0
O00090,C03047,"2025-04-30 00:00:00",UPI,Hyderabad,Delivered,15
O00091,C01455,"2025-08-30 00:00:00",UPI,Hyderabad,Cancelled,10
O00092,C03004,"2025-06-23 00:00:00",COD,Jaipur,Delivered,10
O00093,C01703,"2025-02-01 00:00:00",Card,Bangalore,Delivered,20
O00094,C04421,"2025-10-02 00:00:00",UPI,Mumbai,Delivered,0
O00095,C03874,"2025-07-14 00:00:00",COD,Lucknow,Delivered,10
O00096,C00122,"2025-01-04 00:00:00",COD,Delhi,Returned,5
O00097,C01477,"2025-10-08 00:00:00",UPI,Bangalore,Delivered,0
O00098,C00266,"2025-01-21 00:00:00",Card,Kolkata,Delivered,10
O00099,C00028,"2025-08-26 00:00:00",Card,Mumbai,Returned,25
O00100,C02125,"2025-04-03 00:00:00",UPI,Delhi,Delivered,15
O00101,C00432,"2025-03-30 00:00:00",Card,Indore,Delivered,5
O00102,C04975,"2025-04-23 00:00:00",UPI,Ahmedabad,Delivered,10
O00103,C03778,"2025-08-09 00:00:00",UPI,Lucknow,Delivered,15
O00104,C04532,"2025-04-08 00:00:00",UPI,Kolkata,Delivered,5
O00105,C01086,"2025-05-22 00:00:00","Net Banking",Jaipur,Delivered,5
O00106,C02095,"2025-05-30 00:00:00",COD,Hyderabad,Returned,5
O00107,C02486,"2025-02-17 00:00:00",Card,Indore,Delivered,10
O00108,C00101,"2025-02-20 00:00:00",Card,Bangalore,Delivered,0
O00109,C02155,"2025-07-27 00:00:00",UPI,Hyderabad,Delivered,10
O00110,C03049,"2025-01-11 00:00:00",Card,Pune,Delivered,20
O00111,C04983,"2025-09-27 00:00:00",UPI,Indore,Delivered,15
O00112,C00800,"2025-09-20 00:00:00",Card,Kolkata,Delivered,15
O00113,C03823,"2025-07-16 00:00:00",COD,Ahmedabad,Cancelled,5
O00114,C01296,"2025-07-05 00:00:00",UPI,Indore,Delivered,15
O00115,C00435,"2025-10-23 00:00:00",Card,Kochi,Delivered,25
O00116,C03805,"2025-08-09 00:00:00",Card,Delhi,Delivered,5
O00117,C02614,"2025-03-22 00:00:00",UPI,Pune,Delivered,20
O00118,C00916,"2025-08-10 00:00:00",Card,Pune,Delivered,20
O00119,C02276,"2025-06-19 00:00:00",Card,Kolkata,Delivered,25
O00120,C04641,"2025-03-27 00:00:00",COD,Bangalore,Delivered,5
O00121,C00648,"2025-02-13 00:00:00",UPI,Indore,Delivered,25
O00122,C02296,"2025-09-18 00:00:00",Card,Kochi,Delivered,0
O00123,C04079,"2025-04-14 00:00:00","Net Banking",Kochi,Delivered,0
O00124,C01432,"2025-10-11 00:00:00",Card,Hyderabad,Delivered,0
O00125,C02362,"2025-08-16 00:00:00",Card,Kochi,Delivered,10
O00126,C04133,"2025-07-07 00:00:00",UPI,Indore,Delivered,0
O00127,C00724,"2025-05-01 00:00:00",UPI,Indore,Delivered,5
O00128,C01548,"2025-05-29 00:00:00","Net Banking",Indore,Delivered,10
O00129,C00980,"2025-12-18 00:00:00",UPI,Pune,Delivered,0
O00130,C00084,"2025-11-01 00:00:00","Net Banking",Delhi,Delivered,15
O00131,C03487,"2025-02-26 00:00:00",UPI,Indore,Delivered,5
O00132,C01366,"2025-12-07 00:00:00",UPI,Chennai,Delivered,0
O00133,C04815,"2025-07-08 00:00:00",UPI,Ahmedabad,Delivered,5
O00134,C00550,"2025-12-23 00:00:00",Card,Pune,Delivered,0
O00135,C03493,"2025-02-07 00:00:00",COD,Mumbai,Delivered,15
O00136,C02763,"2025-07-20 00:00:00","Net Banking",Kolkata,Delivered,5
O00137,C03854,"2025-08-17 00:00:00",UPI,Pune,Delivered,0
O00138,C04683,"2025-05-11 00:00:00",UPI,Lucknow,Delivered,10
O00139,C03200,"2025-06-20 00:00:00",Card,Jaipur,Delivered,10
O00140,C00152,"2025-11-26 00:00:00",Card,Pune,Delivered,5
O00141,C03499,"2025-02-04 00:00:00",UPI,Ahmedabad,Delivered,5
O00142,C02213,"2025-07-20 00:00:00",UPI,Kochi,Delivered,15
O00143,C02986,"2025-06-17 00:00:00",UPI,Indore,Delivered,10
O00144,C04095,"2025-09-03 00:00:00",Card,Indore,Delivered,5
O00145,C01568,"2025-08-12 00:00:00",Card,Jaipur,Delivered,25
O00146,C00212,"2025-12-07 00:00:00",COD,Lucknow,Delivered,5
O00147,C04838,"2025-02-27 00:00:00",UPI,Bangalore,Cancelled,10
O00148,C02180,"2025-10-17 00:00:00",COD,Delhi,Delivered,10
O00149,C03224,"2025-01-25 00:00:00",UPI,Hyderabad,Delivered,5
O00150,C04192,"2025-02-01 00:00:00",UPI,Ahmedabad,Delivered,5
O00151,C01527,"2025-04-20 00:00:00",Card,Lucknow,Cancelled,10
O00152,C00522,"2025-04-11 00:00:00",COD,Pune,Delivered,5
O00153,C03947,"2025-05-30 00:00:00",UPI,Indore,Cancelled,5
O00154,C01703,"2025-12-11 00:00:00","Net Banking",Hyderabad,Delivered,10
O00155,C00018,"2025-07-12 00:00:00",Card,Kolkata,Delivered,15
O00156,C03481,"2025-04-19 00:00:00",UPI,Ahmedabad,Returned,15
O00157,C01720,"2025-12-22 00:00:00",COD,Kochi,Delivered,0
O00158,C03317,"2025-10-04 00:00:00",Card,Kolkata,Delivered,15
O00159,C04015,"2025-08-21 00:00:00",COD,Hyderabad,Delivered,25
O00160,C00879,"2025-01-21 00:00:00",COD,Indore,Delivered,10
O00161,C00594,"2025-09-09 00:00:00",Card,Delhi,Delivered,10
O00162,C04739,"2025-01-14 00:00:00",UPI,Indore,Delivered,25
O00163,C04897,"2025-08-03 00:00:00",COD,Indore,Cancelled,20
O00164,C04551,"2025-01-24 00:00:00",Card,Pune,Cancelled,10
O00165,C01610,"2025-01-20 00:00:00",Card,Indore,Returned,15
O00166,C00876,"2025-07-21 00:00:00",UPI,Hyderabad,Delivered,5
O00167,C03232,"2025-11-17 00:00:00","Net Banking",Pune,Delivered,10
O00168,C02449,"2025-02-21 00:00:00",Card,Chennai,Delivered,15
O00169,C04558,"2025-12-23 00:00:00",Card,Chennai,Delivered,5
O00170,C02137,"2025-07-05 00:00:00",Card,Mumbai,Delivered,10
O00171,C02054,"2025-07-26 00:00:00",COD,Hyderabad,Delivered,0
O00172,C00084,"2025-12-26 00:00:00",UPI,Bangalore,Delivered,20
O00173,C01440,"2025-04-05 00:00:00",COD,Pune,Delivered,20
O00174,C02669,"2025-12-14 00:00:00",UPI,Delhi,Delivered,10
O00175,C02220,"2025-09-23 00:00:00",Card,Mumbai,Cancelled,5
O00176,C00699,"2025-11-22 00:00:00",Card,Lucknow,Delivered,15
O00177,C01821,"2025-01-15 00:00:00",Card,Pune,Delivered,5
O00178,C04626,"2025-06-24 00:00:00",Card,Jaipur,Delivered,5
O00179,C04415,"2025-08-07 00:00:00",UPI,Bangalore,Delivered,25
O00180,C01099,"2025-01-10 00:00:00",Card,Hyderabad,Delivered,0
O00181,C02895,"2025-01-19 00:00:00","Net Banking",Ahmedabad,Delivered,5
O00182,C03418,"2025-03-09 00:00:00",COD,Mumbai,Delivered,10
O00183,C00249,"2025-10-05 00:00:00",UPI,Chennai,Cancelled,0
O00184,C04483,"2025-11-15 00:00:00","Net Banking",Indore,Delivered,0
O00185,C01958,"2025-10-21 00:00:00",COD,Kolkata,Delivered,10
O00186,C01891,"2025-01-15 00:00:00",UPI,Kochi,Delivered,0
O00187,C04459,"2025-11-22 00:00:00",Card,Indore,Delivered,5
O00188,C03368,"2025-04-24 00:00:00",Card,Delhi,Delivered,10
O00189,C02116,"2025-10-27 00:00:00",UPI,Kochi,Delivered,5
O00190,C03064,"2025-06-07 00:00:00",COD,Ahmedabad,Delivered,15
O00191,C01807,"2025-04-14 00:00:00",UPI,Mumbai,Delivered,25
O00192,C00296,"2025-10-07 00:00:00",Card,Bangalore,Delivered,15
O00193,C02695,"2025-03-27 00:00:00",Card,Bangalore,Delivered,30
O00194,C01992,"2025-04-04 00:00:00","Net Banking",Kochi,Delivered,5
O00195,C03940,"2025-06-23 00:00:00",UPI,Chennai,Delivered,5
O00196,C00032,"2025-08-30 00:00:00",UPI,Jaipur,Delivered,5
O00197,C04651,"2025-09-19 00:00:00",Card,Kolkata,Delivered,20
O00198,C03876,"2025-10-21 00:00:00",COD,Pune,Delivered,5
O00199,C04401,"2025-10-09 00:00:00","Net Banking",Mumbai,Delivered,15
O00200,C00793,"2025-05-27 00:00:00",UPI,Delhi,Delivered,15
O00201,C04192,"2025-01-02 00:00:00",Card,Kochi,Delivered,0
O00202,C01090,"2025-03-09 00:00:00",UPI,Lucknow,Delivered,20
O00203,C00230,"2025-03-10 00:00:00",COD,Jaipur,Delivered,10
O00204,C02781,"2025-02-16 00:00:00",UPI,Chennai,Delivered,5
O00205,C04454,"2025-12-21 00:00:00",COD,Hyderabad,Delivered,25
O00206,C04498,"2025-03-05 00:00:00",UPI,Delhi,Delivered,15
O00207,C00790,"2025-03-21 00:00:00",COD,Hyderabad,Delivered,10
O00208,C04195,"2025-09-11 00:00:00",UPI,Lucknow,Delivered,30
O00209,C04367,"2025-08-25 00:00:00",Card,Lucknow,Delivered,15
O00210,C01799,"2025-11-25 00:00:00",Card,Kochi,Delivered,0
O00211,C03981,"2025-05-19 00:00:00",UPI,Ahmedabad,Delivered,30
O00212,C04458,"2025-09-21 00:00:00",UPI,Kochi,Delivered,10
O00213,C03241,"2025-11-12 00:00:00",UPI,Bangalore,Delivered,5
O00214,C04636,"2025-06-03 00:00:00",UPI,Kochi,Delivered,15
O00215,C03857,"2025-05-12 00:00:00",UPI,Ahmedabad,Delivered,0
O00216,C04929,"2025-08-14 00:00:00",Card,Ahmedabad,Delivered,15
O00217,C00314,"2025-04-02 00:00:00",Card,Pune,Delivered,0
O00218,C00233,"2025-04-28 00:00:00",COD,Kolkata,Delivered,0
O00219,C03508,"2025-05-06 00:00:00",UPI,Bangalore,Returned,5
O00220,C01030,"2025-08-15 00:00:00",UPI,Kochi,Delivered,5
O00221,C03607,"2025-12-05 00:00:00",COD,Mumbai,Delivered,10
O00222,C02712,"2025-06-28 00:00:00",Card,Indore,Delivered,10
O00223,C04340,"2025-03-26 00:00:00",UPI,Kochi,Delivered,15
O00224,C02289,"2025-06-13 00:00:00",UPI,Delhi,Delivered,0
O00225,C04000,"2025-08-18 00:00:00",UPI,Chennai,Delivered,20
O00226,C02606,"2025-07-25 00:00:00",UPI,Delhi,Delivered,20
O00227,C03345,"2025-04-14 00:00:00",COD,Ahmedabad,Delivered,5
O00228,C02123,"2025-04-24 00:00:00",UPI,Hyderabad,Delivered,10
O00229,C02331,"2025-07-07 00:00:00","Net Banking",Delhi,Delivered,10
O00230,C03780,"2025-09-28 00:00:00",COD,Mumbai,Delivered,25
O00231,C04183,"2025-02-20 00:00:00",Card,Delhi,Delivered,20
O00232,C00881,"2025-11-02 00:00:00",UPI,Mumbai,Delivered,0
O00233,C02978,"2025-08-10 00:00:00",UPI,Indore,Delivered,25
O00234,C01173,"2025-04-21 00:00:00",Card,Delhi,Cancelled,0
O00235,C00160,"2025-02-24 00:00:00",UPI,Jaipur,Delivered,10
O00236,C02494,"2025-01-12 00:00:00",COD,Bangalore,Delivered,5
O00237,C02130,"2025-07-09 00:00:00",UPI,Delhi,Delivered,5
O00238,C03079,"2025-06-04 00:00:00",COD,Pune,Delivered,10
O00239,C02230,"2025-12-01 00:00:00",Card,Mumbai,Delivered,10
O00240,C02918,"2025-12-12 00:00:00",COD,Indore,Delivered,0
O00241,C03014,"2025-09-22 00:00:00",Card,Delhi,Delivered,25
O00242,C01550,"2025-12-26 00:00:00",Card,Hyderabad,Delivered,0
O00243,C04574,"2025-04-14 00:00:00","Net Banking",Indore,Returned,5
O00244,C03386,"2025-06-12 00:00:00",UPI,Mumbai,Delivered,15
O00245,C01580,"2025-05-21 00:00:00",UPI,Bangalore,Delivered,20
O00246,C03372,"2025-08-25 00:00:00",UPI,Kochi,Delivered,15
O00247,C01961,"2025-02-13 00:00:00",Card,Mumbai,Delivered,5
O00248,C03845,"2025-08-27 00:00:00",UPI,Lucknow,Returned,15
O00249,C04698,"2025-04-07 00:00:00",UPI,Indore,Delivered,15
O00250,C02391,"2025-04-08 00:00:00",UPI,Kolkata,Delivered,10
O00251,C01420,"2025-11-20 00:00:00",COD,Chennai,Delivered,15
O00252,C03918,"2025-02-22 00:00:00",Card,Bangalore,Delivered,10
O00253,C03836,"2025-04-19 00:00:00",COD,Kolkata,Delivered,0
O00254,C04429,"2025-09-14 00:00:00",UPI,Chennai,Delivered,5
O00255,C04451,"2025-01-11 00:00:00",Card,Kolkata,Delivered,15
O00256,C03631,"2025-06-27 00:00:00",Card,Mumbai,Delivered,5
O00257,C04943,"2025-10-21 00:00:00",Card,Bangalore,Delivered,10
O00258,C00163,"2025-01-25 00:00:00",UPI,Kolkata,Delivered,10
O00259,C00116,"2025-05-06 00:00:00",UPI,Mumbai,Delivered,15
O00260,C01471,"2025-09-23 00:00:00","Net Banking",Kochi,Delivered,5
O00261,C03080,"2025-05-13 00:00:00",COD,Jaipur,Cancelled,10
O00262,C03853,"2025-10-05 00:00:00",UPI,Kolkata,Delivered,10
O00263,C02839,"2025-02-11 00:00:00","Net Banking",Delhi,Delivered,20
O00264,C00543,"2025-04-11 00:00:00",UPI,Pune,Delivered,10
O00265,C00414,"2025-10-11 00:00:00",Card,Lucknow,Delivered,5
O00266,C00682,"2025-10-04 00:00:00",COD,Delhi,Delivered,10
O00267,C00642,"2025-05-19 00:00:00",UPI,Kochi,Returned,0
O00268,C03979,"2025-08-09 00:00:00",UPI,Indore,Delivered,10
O00269,C01433,"2025-03-10 00:00:00",Card,Ahmedabad,Delivered,20
O00270,C00669,"2025-10-20 00:00:00",Card,Chennai,Delivered,10
O00271,C02070,"2025-06-26 00:00:00",UPI,Kolkata,Delivered,5
O00272,C00969,"2025-07-16 00:00:00",UPI,Bangalore,Delivered,10
O00273,C01181,"2025-02-02 00:00:00",COD,Chennai,Delivered,20
O00274,C04820,"2025-10-28 00:00:00",UPI,Jaipur,Delivered,15
O00275,C03236,"2025-08-16 00:00:00",UPI,Ahmedabad,Delivered,15
O00276,C00252,"2025-05-16 00:00:00",COD,Kolkata,Delivered,10
O00277,C04301,"2025-05-14 00:00:00",UPI,Jaipur,Delivered,5
O00278,C02880,"2025-05-23 00:00:00",UPI,Pune,Delivered,0
O00279,C03999,"2025-09-02 00:00:00","Net Banking",Mumbai,Delivered,25
O00280,C00791,"2025-05-17 00:00:00","Net Banking",Lucknow,Delivered,0
O00281,C04561,"2025-03-02 00:00:00",UPI,Pune,Cancelled,5
O00282,C01496,"2025-02-25 00:00:00",COD,Kolkata,Delivered,15
O00284,C03069,"2025-07-27 00:00:00",Card,Bangalore,Delivered,10
O00285,C02708,"2025-05-06 00:00:00",Card,Lucknow,Delivered,15
O00286,C02578,"2025-05-03 00:00:00",UPI,Kolkata,Delivered,10
O00287,C01236,"2025-08-19 00:00:00",UPI,Mumbai,Delivered,10
O00288,C01059,"2025-02-04 00:00:00",Card,Jaipur,Delivered,0
O00289,C01171,"2025-09-23 00:00:00",COD,Indore,Delivered,10
O00290,C03619,"2025-04-01 00:00:00",Card,Indore,Delivered,10
O00291,C03660,"2025-01-21 00:00:00",UPI,Ahmedabad,Delivered,20
O00292,C03656,"2025-05-20 00:00:00",UPI,Delhi,Delivered,10
O00293,C00057,"2025-09-22 00:00:00",Card,Pune,Delivered,10
O00294,C01893,"2025-04-30 00:00:00",Card,Pune,Delivered,15
O00295,C02570,"2025-08-09 00:00:00",UPI,Hyderabad,Delivered,10
O00296,C04081,"2025-01-23 00:00:00",Card,Delhi,Delivered,5
O00297,C04457,"2025-02-08 00:00:00",COD,Jaipur,Delivered,20
O00298,C01949,"2025-08-23 00:00:00",UPI,Jaipur,Delivered,20
O00299,C00223,"2025-08-29 00:00:00",UPI,Hyderabad,Delivered,20
O00300,C01640,"2025-05-08 00:00:00",UPI,Delhi,Delivered,5
O00301,C04423,"2025-01-22 00:00:00","Net Banking",Kolkata,Delivered,5
O00302,C01758,"2025-02-24 00:00:00",Card,Chennai,Delivered,20
O00303,C00836,"2025-11-26 00:00:00",Card,Jaipur,Delivered,0
O00304,C02537,"2025-02-16 00:00:00",COD,Delhi,Delivered,15
O00305,C02526,"2025-08-22 00:00:00",UPI,Jaipur,Delivered,5
O00306,C00985,"2025-01-27 00:00:00",UPI,Chennai,Delivered,15
O00307,C01358,"2025-02-17 00:00:00",Card,Hyderabad,Delivered,20
O00308,C04888,"2025-06-16 00:00:00",Card,Mumbai,Delivered,10
O00309,C03061,"2025-09-28 00:00:00",UPI,Mumbai,Delivered,0
O00310,C04478,"2025-03-22 00:00:00",UPI,Indore,Delivered,15
O00311,C01447,"2025-04-28 00:00:00",Card,Indore,Delivered,0
O00312,C01372,"2025-02-14 00:00:00",Card,Mumbai,Cancelled,0
O00313,C03225,"2025-10-02 00:00:00",UPI,Pune,Delivered,20
O00314,C01875,"2025-06-30 00:00:00",Card,Lucknow,Delivered,15
O00315,C02500,"2025-11-07 00:00:00","Net Banking",Lucknow,Delivered,10
O00316,C03362,"2025-08-20 00:00:00",UPI,Hyderabad,Delivered,15
O00317,C01143,"2025-03-27 00:00:00",Card,Pune,Delivered,25
O00318,C04310,"2025-04-15 00:00:00",Card,Delhi,Delivered,0
O00319,C00565,"2025-08-31 00:00:00",UPI,Kolkata,Delivered,5
O00320,C04828,"2025-06-26 00:00:00",COD,Lucknow,Delivered,15
O00321,C04535,"2025-08-22 00:00:00",COD,Hyderabad,Delivered,5
O00322,C01589,"2025-03-19 00:00:00",COD,Delhi,Delivered,5
O00323,C03986,"2025-05-06 00:00:00",UPI,Indore,Delivered,10
O00324,C04725,"2025-07-08 00:00:00",COD,Bangalore,Delivered,15
O00325,C04999,"2025-03-01 00:00:00",Card,Hyderabad,Returned,5
O00326,C01471,"2025-08-08 00:00:00",UPI,Kochi,Delivered,10
O00327,C03915,"2025-03-17 00:00:00",UPI,Lucknow,Delivered,10
O00328,C03114,"2025-04-01 00:00:00",COD,Kochi,Delivered,0
O00329,C04491,"2025-04-26 00:00:00",Card,Mumbai,Cancelled,10
O00330,C04343,"2025-10-07 00:00:00",COD,Pune,Delivered,20
O00331,C03363,"2025-06-16 00:00:00",UPI,Chennai,Delivered,15
O00332,C01637,"2025-05-06 00:00:00",COD,Bangalore,Delivered,10
O00333,C02913,"2025-08-21 00:00:00",UPI,Jaipur,Delivered,0
O00334,C01473,"2025-04-24 00:00:00",UPI,Mumbai,Delivered,0
O00335,C01245,"2025-04-10 00:00:00","Net Banking",Mumbai,Delivered,0
O00336,C03738,"2025-05-31 00:00:00",UPI,Kochi,Delivered,15
O00337,C02099,"2025-03-13 00:00:00",Card,Kochi,Delivered,15
O00338,C02598,"2025-12-15 00:00:00",COD,Kolkata,Cancelled,15
O00339,C02513,"2025-06-16 00:00:00",COD,Mumbai,Cancelled,5
O00340,C04515,"2025-03-13 00:00:00",Card,Kochi,Delivered,0
O00341,C00259,"2025-12-14 00:00:00",Card,Hyderabad,Delivered,15
O00342,C02359,"2025-12-19 00:00:00",Card,Chennai,Delivered,25
O00343,C03394,"2025-01-11 00:00:00",UPI,Kochi,Delivered,10
O00344,C03779,"2025-10-25 00:00:00",UPI,Kochi,Delivered,15
O00345,C03412,"2025-08-17 00:00:00",UPI,Delhi,Delivered,15
O00346,C01269,"2025-05-06 00:00:00",UPI,Mumbai,Cancelled,20
O00347,C00940,"2025-06-02 00:00:00",UPI,Hyderabad,Delivered,0
O00348,C02377,"2025-06-11 00:00:00",UPI,Mumbai,Delivered,25
O00349,C03952,"2025-10-05 00:00:00",UPI,Lucknow,Delivered,20
O00350,C00196,"2025-06-28 00:00:00",UPI,Kolkata,Delivered,20
O00351,C04158,"2025-05-24 00:00:00",Card,Chennai,Delivered,30
O00352,C03097,"2025-05-19 00:00:00",UPI,Lucknow,Delivered,10
O00353,C03636,"2025-07-25 00:00:00",COD,Ahmedabad,Delivered,0
O00354,C00562,"2025-04-06 00:00:00",COD,Indore,Delivered,20
O00355,C03450,"2025-08-02 00:00:00",UPI,Bangalore,Delivered,0
O00356,C03367,"2025-03-10 00:00:00",UPI,Pune,Delivered,15
O00357,C03124,"2025-12-22 00:00:00",COD,Hyderabad,Delivered,10
O00358,C02892,"2025-11-14 00:00:00","Net Banking",Delhi,Delivered,0
O00359,C00040,"2025-01-19 00:00:00",UPI,Kochi,Delivered,10
O00360,C01768,"2025-11-12 00:00:00",UPI,Kochi,Cancelled,15
O00361,C02505,"2025-12-17 00:00:00",UPI,Kochi,Delivered,0
O00362,C00788,"2025-04-11 00:00:00",Card,Bangalore,Delivered,0
O00363,C01877,"2025-03-22 00:00:00","Net Banking",Mumbai,Delivered,10
O00364,C04098,"2025-07-02 00:00:00",COD,Bangalore,Delivered,0
